ID,Layer,Relay,HasSubMenu,CmdC,CmdE,CmdI,CmdV,ShortCut,CallTimes,BodyMap,Stage,AudC,AudE,AudI,AudV,Note1,Note2,Note3
187,,表達意見,ACT,多一點,More,banyakan,thêm,FALSE,0,FALSE,1,NULL,NULL,,,,,
188,,表達意見,ACT,無所謂,I don't care,terserah,Tôi không quan tâm,FALSE,0,FALSE,1,NULL,NULL,,,,,
189,,表達意見,ACT,可以了,It's OK,ok/ cukup,Được rồi,FALSE,0,FALSE,1,NULL,NULL,,,,,
190,,私人需求,ACT,親愛的,Honey,sayang/ darling,anh / em yêu,FALSE,0,FALSE,1,NULL,NULL,,,,,
191,,私人需求,ACT,不好說的事,something difficult to say,masalah yang sulit di bicarakan,Không tiện nói ra,FALSE,0,FALSE,1,NULL,NULL,,,,,
192,,私人需求,ACT,害羞的事,Shy,hal yang tak pantas,xấu hổ / ngại ngùng,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
193,,門診,ACT,醫生您好,Hi Doctor!,apa kabar Dokter?,Xin chào bác sĩ,FALSE,0,FALSE,2,NULL,NULL,,,,,
194,,門診,ACT,請問我的病情,How is my disease?,saya mau menanyakan keadaan penyakit saya,Xin hỏi bệnh tình của tôi như thế nào,FALSE,0,FALSE,2,NULL,NULL,,,,,
195,,門診,ACT,該如何用藥,How to take my medicine?,bagaimana menggunakan obat,Xin hỏi thuốc uống liều lượng ra sao,FALSE,0,FALSE,2,NULL,NULL,請問,,,,
196,,門診,ACT,該如何處置,What is my treatment?,bagaimana mengatasinya,Việc điều trị của tôi là gì ?,FALSE,0,FALSE,2,NULL,NULL,請問,,,,
197,,門診,ACT,我感覺不舒服,I don't feel very well,saya merasa tidak enak,Tôi cảm thấy không được khỏe,FALSE,0,FALSE,2,NULL,NULL,,,,,
198,,門診,ACT,做檢查,examination,check-up,Làm xét nghiệm,FALSE,0,FALSE,2,NULL,NULL,NULL,,,,
199,,門診,ACT,檢查報告如何,How is my report?,bagaimana dengan hasil check-up,Kết quả xét nghiệm ra sao,FALSE,0,FALSE,2,NULL,NULL,請問,,,,
200,,門診,ACT,肺功能檢查,Pulmonary function test,"tes fungsi paru""",Xét nghiệm chức năng phổi,FALSE,0,FALSE,2,NULL,NULL,NULL,,,,
201,,門診,ACT,肌電圖檢查,EMG,EMG,Xét nghiệm điện cơ (EMG),FALSE,0,FALSE,2,NULL,NULL,NULL,,,,
202,,自我介紹,ACT,你好，我的名字是 亨利之眼,Hi... my name is Henri,hai. nama saya Henry's Eye,Xin chào. tôi là Henry's Eye,TRUE,0,FALSE,1,NULL,NULL,,,,,
203,,表達方向,ACT,往上,Go up,ke atas,Lên trên,FALSE,0,FALSE,1,NULL,NULL,,,,,
204,,表達方向,ACT,往下,Go down,ke bawah,Xuống dưới,FALSE,0,FALSE,1,NULL,NULL,,,,,
205,,表達方向,ACT,往左,Go left,ke kiri,Sang trái,FALSE,0,FALSE,1,NULL,NULL,,,,,
206,,表達方向,ACT,往右,Go right,ke kanan,Sang phải,FALSE,0,FALSE,1,NULL,NULL,,,,,
207,,表達方向,ACT,往前,Go forward,ke depan,Tiến phía trước,FALSE,0,FALSE,1,NULL,NULL,,,,,
208,,表達方向,ACT,往後,Go backward,ke belakang,Lùi sau,FALSE,0,FALSE,1,NULL,NULL,,,,,
